VTG_TRACK,VTG_SPD,DATATIME,DBS,WLPT,WTP,WLST,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,measurement_val,QF,STATUS,Latitude,Longitude,
217.3,3.17,2017-04-27T13:38:30,483.25,500.00,0.00,500.00,2.31,15,A,1.19,15,V,0.69,15,V,-19.06,15,V,41.19,15,A,3.94,15,A,1.75,15,V,0.75,15,V,-16.44,15,V,6.69,15,A,0.00,15,V,0.00,15,V,6.69,15,V,268.63,12,V,,0,V,,0,V,,0,V,,0,V,15.31,15,A,47.8273133333,-53.60637,
217.5,3.18,2017-04-27T13:38:33,483.19,500.00,0.00,500.00,2.38,15,V,1.19,15,V,0.63,15,V,-19.06,15,V,41.19,15,V,3.88,15,V,1.75,15,V,0.75,15,V,-16.44,15,V,6.69,15,V,0.00,15,V,0.00,15,V,6.69,15,V,268.75,12,V,,0,V,,0,V,,0,V,,0,V,15.38,15,V,47.82729,-53.6063983333,
217.2,3.17,2017-04-27T13:38:35,483.31,500.00,0.00,500.00,2.38,15,V,1.19,15,V,0.63,15,V,-19.06,15,V,41.19,15,V,3.75,15,V,1.75,15,V,0.75,15,V,-16.44,15,V,0.00,1,A,6.69,1,V,0.00,1,V,6.69,1,V,268.81,12,A,,0,V,,0,V,,0,V,,0,V,15.38,15,V,47.8272683333,-53.6064233333,
217.5,3.20,2017-04-27T13:38:37,483.06,500.00,0.00,500.00,2.44,15,A,1.19,15,V,0.63,15,V,-19.06,15,V,41.19,15,V,-16.44,15,A,1.75,15,V,0.75,15,V,3.75,15,V,0.00,15,A,0.00,15,V,6.75,15,V,6.75,15,V,268.81,12,V,,0,V,,0,V,,0,V,,0,V,15.44,15,V,47.8272366667,-53.60646,
217.7,3.18,2017-04-27T13:38:40,483.13,500.00,0.00,500.00,2.44,15,V,1.19,15,V,0.63,15,V,-19.06,15,V,41.19,15,V,-16.44,15,V,1.75,15,V,0.75,15,V,3.69,15,V,0.00,15,V,0.00,15,V,6.75,15,V,6.75,15,V,268.75,12,A,,0,A,,0,V,,0,V,,0,V,15.44,15,V,47.8272116667,-53.60649,
218.0,3.18,2017-04-27T13:38:42,483.19,500.00,0.00,500.00,2.44,15,V,1.19,15,V,0.63,15,V,-19.06,15,V,41.19,15,A,1.56,15,A,0.75,15,V,-16.44,15,V,3.69,15,V,0.00,1,A,6.69,1,V,0.00,1,V,6.69,1,V,268.81,0,A,,0,V,,0,V,,0,V,,0,V,15.44,15,V,47.8271866667,-53.606525,
217.8,3.17,2017-04-27T13:38:44,483.19,500.00,0.00,500.00,-19.06,15,A,1.19,15,V,0.63,15,V,2.44,15,V,41.13,15,V,1.38,15,V,0.75,15,V,-16.44,15,V,3.69,15,V,0.00,0,A,0.00,0,V,6.69,0,V,6.69,0,V,268.88,8,A,,0,V,,0,V,,0,V,,0,V,15.50,15,A,47.8271633333,-53.6065566667,
217.8,3.16,2017-04-27T13:38:47,483.00,500.00,0.00,500.00,1.25,15,A,0.63,15,V,-19.00,15,V,2.44,15,V,41.13,15,V,1.25,15,V,0.75,15,V,-16.44,15,V,3.69,15,V,0.00,0,A,6.69,0,V,0.00,0,V,6.69,0,V,268.88,8,V,,0,V,,0,V,,0,V,,0,V,15.50,15,V,47.8271316667,-53.6066,
217.5,3.17,2017-04-27T13:38:49,483.19,500.00,0.00,500.00,1.31,15,V,0.63,15,V,-19.00,15,V,2.44,15,V,41.13,15,V,1.19,15,V,0.75,15,V,-16.44,15,V,3.69,15,V,0.00,0,V,6.69,0,V,0.00,0,V,6.69,0,V,268.88,8,A,,0,V,,0,V,,0,V,,0,V,15.56,15,V,47.82711,-53.6066233333,
217.7,3.16,2017-04-27T13:38:51,482.88,500.00,0.00,500.00,1.38,15,V,0.63,15,V,-19.00,15,V,2.44,15,V,41.13,15,V,-16.38,15,A,1.19,15,V,0.75,15,V,3.69,15,V,6.69,15,A,0.00,15,V,0.00,15,V,6.69,15,V,268.81,0,A,,0,V,,0,V,,0,V,,0,V,15.56,15,V,47.8270883333,-53.6066516667,
